date,vendor,description,amount,currency,payment_method,receipt_status,user_category,vendor_category_hint,business_purpose_note,gst_hst_included,paid_by,notes
2025-01-10,Amazon Web Services,Cloud hosting January,380.00,CAD,corporate_credit_card,received,software,software_and_cloud,Hosting client project infrastructure,yes,corporation,Recurring monthly
2025-02-10,Amazon Web Services,Cloud hosting February,395.20,CAD,corporate_credit_card,received,software,software_and_cloud,Hosting client project infrastructure,yes,corporation,Recurring monthly
2025-03-10,Amazon Web Services,Cloud hosting March,410.15,CAD,corporate_credit_card,received,software,software_and_cloud,Hosting client project infrastructure,yes,corporation,Recurring monthly
2025-01-05,GitHub,Team plan subscription,28.00,USD,corporate_credit_card,received,software,software_and_cloud,Source control for client deliverables,unknown,corporation,USD charge; converted in bookkeeping
2025-02-05,GitHub,Team plan subscription,28.00,USD,corporate_credit_card,received,software,software_and_cloud,Source control for client deliverables,unknown,corporation,USD charge; converted in bookkeeping
2025-03-05,GitHub,Team plan subscription,28.00,USD,corporate_credit_card,received,software,software_and_cloud,Source control for client deliverables,unknown,corporation,USD charge; converted in bookkeeping
2025-01-15,Rogers,Internet and phone bundle January,180.00,CAD,corporate_bank_account,received,internet_and_phone,utilities_and_phone,Office internet and mobile for business use,yes,corporation,Full amount charged to corp; mixed use not assessed
2025-02-15,Rogers,Internet and phone bundle February,180.00,CAD,corporate_bank_account,received,internet_and_phone,utilities_and_phone,Office internet and mobile for business use,yes,corporation,Full amount charged to corp; mixed use not assessed
2025-03-15,Rogers,Internet and phone bundle March,180.00,CAD,corporate_bank_account,received,internet_and_phone,utilities_and_phone,Office internet and mobile for business use,yes,corporation,Full amount charged to corp; mixed use not assessed
2025-04-02,Restaurant X,Dinner with client team,312.80,CAD,corporate_credit_card,received,meals,meals_and_entertainment,Dinner with primary client project leads,yes,corporation,Business purpose noted; attendees not documented
2025-07-18,Cafe Y,Coffee during remote workday,22.40,CAD,corporate_credit_card,received,meals,meals_and_entertainment,,yes,corporation,No business purpose noted; may be personal
2025-01-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-02-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-03-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-04-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-05-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
